"자치구","행정동","전체세대수","X1인세대"
"도봉구","도봉1동",10294,3954.75
"도봉구","도봉2동",12074.75,3849.166667
"마포구","도화동",9629.333333,3558.916667
"금천구","독산1동",17628.58333,8184.833333
"금천구","독산2동",9389.75,3896.583333
"금천구","독산3동",12214.83333,5437.5
"금천구","독산4동",7649.666667,3197.166667
"성북구","돈암1동",6391.416667,1763.833333
"성북구","돈암2동",8526.5,1510.666667
"성북구","동선동",8863.833333,5435.583333
"중구","동화동",4209,1189.583333
"강동구","둔촌1동",205.1666667,142.5833333
"강동구","둔촌2동",11160.41667,3354.25
"강서구","등촌1동",11662.25,5971.833333
"강서구","등촌2동",8537.25,2363.333333
"강서구","등촌3동",14734.83333,5230.166667
"성동구","마장동",10555.16667,4407.916667
"송파구","마천1동",9261.833333,3540.666667
"송파구","마천2동",8598.666667,2980.5
"중랑구","망우3동",8472.916667,3547.833333
"중랑구","망우본동",14682.16667,6369.833333
"마포구","망원1동",10355.16667,4818.666667
"마포구","망원2동",8223,2847.416667
"중랑구","면목2동",12195.33333,5237.75
"중랑구","면목3.8동",12574.16667,5414.416667
"중랑구","면목4동",9471.916667,3949.166667
"중랑구","면목5동",4636.666667,1886
"중랑구","면목7동",10104.66667,4164.166667
"중랑구","면목본동",17456.16667,8036.166667
"중구","명동",1412.75,927
"강동구","명일1동",8179.416667,1983.083333
"강동구","명일2동",5893.166667,978.5833333
"양천구","목1동",10519.41667,1579.666667
"양천구","목2동",12861,4214.916667
"양천구","목3동",9537.416667,3325.333333
"양천구","목4동",10072.75,2736.583333
"양천구","목5동",13571.66667,1620.166667
"종로구","무악동",3010.166667,709.1666667
"중랑구","묵1동",14425.16667,4467.166667
"중랑구","묵2동",9147.833333,3696
"영등포구","문래동",12725.75,3885.916667
"송파구","문정1동",8490,2620.75
"송파구","문정2동",14825.25,7721.666667
"관악구","미성동",14066.83333,5233
"강북구","미아동",11169.16667,5309.583333
"서초구","반포1동",13258.08333,6161.333333
"서초구","반포2동",6911.416667,1038.916667
"서초구","반포3동",6780.166667,1295
"서초구","반포4동",7368.25,1865.166667
"서초구","반포본동",4232.833333,730.3333333
"강서구","발산1동",13402.83333,2470.333333
"서초구","방배1동",7499,2802.583333
"서초구","방배2동",10368.16667,3586.666667
"서초구","방배3동",8415.083333,2297.416667
"서초구","방배4동",10075.66667,3386.083333
"서초구","방배본동",7860.916667,2089
"송파구","방이1동",6171.083333,1696.666667
"송파구","방이2동",12623.08333,6360.583333
"도봉구","방학1동",12685.16667,4400.916667
"도봉구","방학2동",9575.416667,3581
"도봉구","방학3동",10142.66667,1733.666667
"강서구","방화1동",17330.08333,4659.916667
"강서구","방화2동",11475.25,5190.25
"강서구","방화3동",11247.41667,4346.833333
"강북구","번1동",10100.91667,5171
"강북구","번2동",7543.25,2501.583333
"강북구","번3동",7619.583333,2088.333333
"용산구","보광동",7784.833333,3981
"관악구","보라매동",11895.58333,5272.916667
"성북구","보문동",7985.25,3650.5
"종로구","부암동",4307.583333,1617.833333
"서대문구","북가좌1동",7018.833333,1508.75
"서대문구","북가좌2동",14734,5321.25
"서대문구","북아현동",7561.083333,2804.75
"은평구","불광1동",17719.16667,6165.083333
"은평구","불광2동",13651,5569.083333
"성동구","사근동",6990.083333,4754.666667
"동작구","사당1동",12456.41667,6761.083333
"동작구","사당2동",11855.83333,4018.666667
"동작구","사당3동",10367.5,3331.333333
"동작구","사당4동",6782.083333,2820.416667
"동작구","사당5동",5675.416667,2175.333333
"종로구","사직동",4492.75,2132.083333
"강북구","삼각산동",11887.5,2527
"성북구","삼선동",12619.16667,5982.166667
"강남구","삼성1동",5856.75,1895.5
"강남구","삼성2동",13051.08333,5563
"관악구","삼성동",11545.08333,4469.916667
"강북구","삼양동",12160.91667,4699.166667
"송파구","삼전동",16218.75,7881.916667
"종로구","삼청동",1414.333333,741.3333333
"노원구","상계10동",6672.916667,1698.583333
"노원구","상계1동",15658.33333,4271.083333
"노원구","상계2동",8748.833333,3019.083333
"노원구","상계3.4동",11842.58333,4537.333333
"노원구","상계5동",11138.16667,3840.416667
"노원구","상계6.7동",14076.08333,4083.916667
"노원구","상계8동",9290.833333,2117.333333
"노원구","상계9동",8516.75,1977.166667
"동작구","상도1동",21023.66667,9207.583333
"동작구","상도2동",11886.16667,4715.5
"동작구","상도3동",11532.75,4673.5
"동작구","상도4동",12996.25,4839.416667
"중랑구","상봉1동",10124.16667,2954.666667
"중랑구","상봉2동",9998.416667,5434.083333
"마포구","상암동",12658.16667,3928
"강동구","상일동",4165.416667,1134.083333
"마포구","서강동",11505.5,5074
"마포구","서교동",13929.83333,8388.333333
"관악구","서림동",14177.58333,9016.333333
"용산구","서빙고동",5318.333333,1694.083333
"관악구","서원동",13142.41667,7876.583333
"서초구","서초1동",9149.833333,3717.5
"서초구","서초2동",7776.5,3292
"서초구","서초3동",12868,5030.166667
"서초구","서초4동",10804.91667,2209.833333
"성북구","석관동",14749.33333,5751.666667
"송파구","석촌동",16489.58333,7822.75
"강동구","성내1동",8165.75,2306.416667
"강동구","성내2동",12382.91667,5825.083333
"강동구","성내3동",10212.16667,3692.833333
"성북구","성북동",8021.833333,3622.583333
"마포구","성산1동",9305,4061.333333
"마포구","성산2동",17883.58333,6994.083333
"성동구","성수1가1동",7636,3035.083333
"성동구","성수1가2동",7274.25,3223.083333
"성동구","성수2가1동",8603.833333,4073.416667
"성동구","성수2가3동",5649.5,2792.916667
"관악구","성현동",13006.16667,3806.5
"강남구","세곡동",17307.91667,5354.25
"중구","소공동",1069.583333,597.0833333
"성동구","송정동",5504.333333,2639.666667
"강북구","송중동",13060.5,5393.416667
"강북구","송천동",13781.75,6060.75
"송파구","송파1동",12194.33333,5457.25
"송파구","송파2동",7297.75,1429.583333
"구로구","수궁동",9812.25,2623.166667
"은평구","수색동",5209.666667,1895
"강남구","수서동",7851.916667,3117.25
"강북구","수유1동",10284.83333,4483.333333
"강북구","수유2동",9521.416667,3241.083333
"강북구","수유3동",12275.75,6253.75
"종로구","숭인1동",2996.083333,1323.083333
"종로구","숭인2동",5678.333333,3641.583333
"금천구","시흥1동",15390.33333,6056
"금천구","시흥2동",8532.333333,1957.25
"금천구","시흥3동",4736.166667,1408
"금천구","시흥4동",9162.666667,3020.166667
"금천구","시흥5동",9367.416667,3721.083333
"영등포구","신길1동",9403.416667,5282.416667
"영등포구","신길3동",7131.5,2810.75
"영등포구","신길4동",4704.25,2020.916667
"영등포구","신길5동",5006.083333,2142.25
"영등포구","신길6동",8379.333333,3566.75
"영등포구","신길7동",6837.916667,2097.666667
"중랑구","신내1동",14556.08333,3216.416667
"중랑구","신내2동",9003.833333,2574.833333
"중구","신당5동",4457.666667,2062.916667
"중구","신당동",4424.416667,2648.333333
"동작구","신대방1동",9905.5,3451
"동작구","신대방2동",9015.75,3762.166667
"구로구","신도림동",13327.75,2774.25
"관악구","신림동",15749,12492.5
"은평구","신사1동",11435.33333,3486.166667
"은평구","신사2동",9086.416667,2968.5
"강남구","신사동",7564.083333,2946.916667
"관악구","신사동",12782.33333,7460.25
"마포구","신수동",9193.583333,3508.916667
"관악구","신원동",10180.91667,5601.166667
"양천구","신월1동",10143.5,4168.083333
"양천구","신월2동",8703.75,2342.916667
"양천구","신월3동",8228.333333,3827.25
"양천구","신월4동",6903.75,1422.583333
"양천구","신월5동",6398.833333,2062.333333
"양천구","신월6동",2591.5,695.6666667
"양천구","신월7동",9339.083333,2833
"양천구","신정1동",7254.583333,1409.25
"양천구","신정2동",7212,1551.666667
"양천구","신정3동",17874.41667,4179.25
"양천구","신정4동",15898.58333,6367
"양천구","신정6동",8166.833333,987.8333333
"양천구","신정7동",11229.91667,2725.916667
"서대문구","신촌동",11819.16667,8578.666667
"도봉구","쌍문1동",9128.833333,2945.666667
"도봉구","쌍문2동",8623,2879.166667
"도봉구","쌍문3동",7652.333333,2923.916667
"도봉구","쌍문4동",7174.5,1489.416667
"마포구","아현동",10256.16667,3183.416667
"성북구","안암동",8760.75,5471.083333
"강동구","암사1동",16309.83333,6094
"강동구","암사2동",5895.75,1790.583333
"강동구","암사3동",6321.666667,1025.416667
"강남구","압구정동",10720.66667,2943.416667
"중구","약수동",7800.25,2765.166667
"서초구","양재1동",18321.41667,5845
"서초구","양재2동",11001.91667,4971.75
"영등포구","양평1동",8272.75,3839.166667
"영등포구","양평2동",9624.083333,3761.25
"영등포구","여의동",12075.66667,3274.666667
"강남구","역삼1동",22896.91667,15977.25
"강남구","역삼2동",14931.58333,5811.583333
"은평구","역촌동",20769.16667,7032
"마포구","연남동",8743.25,4702.083333
"서대문구","연희동",18577.91667,9423.583333
"마포구","염리동",5159.083333,2389.666667
"강서구","염창동",14464.91667,3048.833333
"영등포구","영등포동",15477.91667,10430.91667
"영등포구","영등포본동",10336.91667,4235.666667
"송파구","오금동",15077.33333,4004
"구로구","오류1동",10374.66667,4694.416667
"구로구","오류2동",16732.91667,4435.75
"송파구","오륜동",6021.166667,648.1666667
"성동구","옥수동",10954.83333,3103.25
"성동구","왕십리2동",7675.916667,2915.916667
"성동구","왕십리도선동",11549.08333,4159.833333
"마포구","용강동",9116.75,3104.416667
"성동구","용답동",8023.166667,4385
"용산구","용문동",5337.083333,1852.666667
"용산구","용산2가동",5535.833333,2781.666667
"동대문구","용신동",16405.41667,9262.25
"강북구","우이동",9450.833333,3415.583333
"강서구","우장산동",16514.66667,3785.666667
"용산구","원효로1동",7219.583333,3265.25
"용산구","원효로2동",6034.416667,1983.083333
"노원구","월계1동",10450.66667,4265.833333
"노원구","월계2동",11255.08333,3665.25
"노원구","월계3동",13005.91667,3510.916667
"성북구","월곡1동",10748.5,3088.333333
"성북구","월곡2동",8860.25,3639.25
"송파구","위례동",9096.333333,1078.333333
"관악구","은천동",15455.08333,6036.333333
"중구","을지로동",1211.083333,953.75
"성동구","응봉동",6230.833333,1645.75
"은평구","응암1동",11242.41667,4473.5
"은평구","응암2동",8344.5,2438.75
"은평구","응암3동",12436.5,5535.916667
"동대문구","이문1동",13815.25,7725.583333
"동대문구","이문2동",8687,2773.75
"용산구","이촌1동",10158.83333,2209.416667
"용산구","이촌2동",3858.666667,1269.833333
"용산구","이태원1동",3866.833333,2232.333333
"용산구","이태원2동",4933.833333,2605.916667
"종로구","이화동",4494.833333,2641
"강북구","인수동",14351.16667,5313.083333
"관악구","인헌동",13866.25,7269
"강남구","일원1동",7583.083333,3012.25
"강남구","일원2동",6558.333333,1990.916667
"강남구","일원본동",8306.416667,1528.166667
"광진구","자양1동",11356.16667,5368.25
"광진구","자양2동",11261.25,3827.666667
"광진구","자양3동",11053,2735
"광진구","자양4동",10222,5232.666667
"송파구","잠실2동",12055.41667,1901.75
"송파구","잠실3동",12394.33333,2050.166667
"송파구","잠실4동",10414.33333,1780.333333
"송파구","잠실6동",5905.416667,946.5
"송파구","잠실7동",3491.833333,493.3333333
"송파구","잠실본동",14516.33333,7269.75
"서초구","잠원동",13936.91667,4617.25
"동대문구","장안1동",17126.75,6877.583333
"동대문구","장안2동",12640.41667,4186.166667
"성북구","장위1동",8978.333333,3224.833333
"성북구","장위2동",7173.666667,2730.666667
"성북구","장위3동",4871.166667,1711.666667
"송파구","장지동",13384.5,3589.916667
"중구","장충동",2652.666667,1607
"동대문구","전농1동",14304.33333,6740
"동대문구","전농2동",7670.25,2059.75
"성북구","정릉1동",7036.75,2029.333333
"성북구","정릉2동",9634.5,2915.25
"성북구","정릉3동",7584,3722.25
"성북구","정릉4동",11036.25,3553.583333
"동대문구","제기동",12749.58333,6588.25
"관악구","조원동",10020.75,6015
"종로구","종로1.2.3.4가동",5322.25,4176.583333
"종로구","종로5·6가동",3161.583333,2066.416667
"성북구","종암동",17027,6106.75
"노원구","중계1동",9134.666667,1392.5
"노원구","중계2.3동",15502,4662.583333
"노원구","중계4동",8457.75,2359.833333
"노원구","중계본동",9243.5,2134
"광진구","중곡1동",7819.75,3602.083333
"광진구","중곡2동",10225.41667,4228.833333
"광진구","중곡3동",8430.916667,3755.166667
"광진구","중곡4동",13175.83333,4680
"중구","중림동",5696.583333,2427.333333
"관악구","중앙동",8862.833333,5530.25
"중랑구","중화1동",8830.166667,3034.583333
"중랑구","중화2동",14292.41667,7106.166667
"은평구","증산동",6928.416667,2398.916667
"은평구","진관동",20049.16667,5074.25
"도봉구","창1동",10902,3389.583333
"도봉구","창2동",12380.75,3548.083333
"도봉구","창3동",6668.25,2471.083333
"도봉구","창4동",10562.33333,2642.083333
"도봉구","창5동",9890.5,2491.083333
"종로구","창신1동",3018.5,1766.5
"종로구","창신2동",4221.916667,1951.333333
"종로구","창신3동",2876.666667,847.4166667
"서대문구","천연동",8314.583333,3314.583333
"강동구","천호1동",12923.5,5026.833333
"강동구","천호2동",17583,8271.833333
"강동구","천호3동",13454.41667,6208
"중구","청구동",6455.166667,2439.583333
"강남구","청담동",12239.16667,4373.5
"동대문구","청량리동",10520.66667,4825.166667
"관악구","청룡동",17874.16667,12402.33333
"관악구","청림동",6606.916667,1957.5
"종로구","청운효자동",5416.916667,1940.416667
"용산구","청파동",10594.58333,5931.166667
"서대문구","충현동",8807.5,4342.5
"종로구","평창동",7576,2464
"송파구","풍납1동",6867.166667,2553.916667
"송파구","풍납2동",10403.08333,3730.083333
"중구","필동",2266.333333,1392.083333
"노원구","하계1동",12333.33333,4599.583333
"노원구","하계2동",8349.583333,1553.333333
"용산구","한강로동",9368.166667,5232.166667
"용산구","한남동",10946.58333,5946.416667
"마포구","합정동",9592.916667,4843.166667
"성동구","행당1동",6801.083333,2847
"성동구","행당2동",9481.25,2312.333333
"관악구","행운동",16667.08333,9948.916667
"종로구","혜화동",9134.25,5321
"서대문구","홍은1동",9771.75,3243.416667
"서대문구","홍은2동",12473.75,4675.833333
"서대문구","홍제1동",9565,3193.833333
"서대문구","홍제2동",5840.666667,1640.583333
"서대문구","홍제3동",7126.333333,2591.166667
"강서구","화곡1동",25569.58333,11268.41667
"강서구","화곡2동",8249.333333,2706.833333
"강서구","화곡3동",9167.333333,2974.166667
"강서구","화곡4동",9792.5,3514.916667
"강서구","화곡6동",10924.16667,4376.583333
"강서구","화곡8동",11548,4124.75
"강서구","화곡본동",16070.58333,6367.25
"광진구","화양동",15258.75,11691.25
"중구","황학동",6417.25,3365.833333
"동대문구","회기동",5891.083333,3691.666667
"중구","회현동",3270.25,2235.416667
"용산구","효창동",3757.083333,1329
"용산구","후암동",8531.75,3927.5
"동대문구","휘경1동",6854.75,3815.333333
"동대문구","휘경2동",11148.41667,4932.916667
"동작구","흑석동",13055.91667,5184.416667
