"","자치구","행정동","전체세대수","1인세대"
"123","관악구","미성동",14066.8333333333,5233
"124","강북구","미아동",11169.1666666667,5309.58333333333
"125","서초구","반포1동",13258.0833333333,6161.33333333333
"126","서초구","반포2동",6911.41666666667,1038.91666666667
"127","서초구","반포3동",6780.16666666667,1295
"128","서초구","반포4동",7368.25,1865.16666666667
"129","서초구","반포본동",4232.83333333333,730.333333333333
"130","강서구","발산1동",13402.8333333333,2470.33333333333
"131","서초구","방배1동",7499,2802.58333333333
"132","서초구","방배2동",10368.1666666667,3586.66666666667
"133","서초구","방배3동",8415.08333333333,2297.41666666667
"134","서초구","방배4동",10075.6666666667,3386.08333333333
"135","서초구","방배본동",7860.91666666667,2089
"136","송파구","방이1동",6171.08333333333,1696.66666666667
"137","송파구","방이2동",12623.0833333333,6360.58333333333
"138","도봉구","방학1동",12685.1666666667,4400.91666666667
"139","도봉구","방학2동",9575.41666666667,3581
"140","도봉구","방학3동",10142.6666666667,1733.66666666667
"141","강서구","방화1동",17330.0833333333,4659.91666666667
"142","강서구","방화2동",11475.25,5190.25
"143","강서구","방화3동",11247.4166666667,4346.83333333333
"144","강북구","번1동",10100.9166666667,5171
"145","강북구","번2동",7543.25,2501.58333333333
"146","강북구","번3동",7619.58333333333,2088.33333333333
"147","용산구","보광동",7784.83333333333,3981
"148","관악구","보라매동",11895.5833333333,5272.91666666667
"149","성북구","보문동",7985.25,3650.5
"150","종로구","부암동",4307.58333333333,1617.83333333333
"151","서대문구","북가좌1동",7018.83333333333,1508.75
"152","서대문구","북가좌2동",14734,5321.25
"153","서대문구","북아현동",7561.08333333333,2804.75
"154","은평구","불광1동",17719.1666666667,6165.08333333333
"155","은평구","불광2동",13651,5569.08333333333
"156","성동구","사근동",6990.08333333333,4754.66666666667
"157","동작구","사당1동",12456.4166666667,6761.08333333333
"158","동작구","사당2동",11855.8333333333,4018.66666666667
"159","동작구","사당3동",10367.5,3331.33333333333
"160","동작구","사당4동",6782.08333333333,2820.41666666667
"161","동작구","사당5동",5675.41666666667,2175.33333333333
"162","종로구","사직동",4492.75,2132.08333333333
"163","강북구","삼각산동",11887.5,2527
"164","성북구","삼선동",12619.1666666667,5982.16666666667
"165","강남구","삼성1동",5856.75,1895.5
"166","강남구","삼성2동",13051.0833333333,5563
"167","관악구","삼성동",11545.0833333333,4469.91666666667
"168","강북구","삼양동",12160.9166666667,4699.16666666667
"169","송파구","삼전동",16218.75,7881.91666666667
"170","종로구","삼청동",1414.33333333333,741.333333333333
"171","노원구","상계10동",6672.91666666667,1698.58333333333
"172","노원구","상계1동",15658.3333333333,4271.08333333333
"173","노원구","상계2동",8748.83333333333,3019.08333333333
"174","노원구","상계3.4동",11842.5833333333,4537.33333333333
"175","노원구","상계5동",11138.1666666667,3840.41666666667
"176","노원구","상계6.7동",14076.0833333333,4083.91666666667
"177","노원구","상계8동",9290.83333333333,2117.33333333333
"178","노원구","상계9동",8516.75,1977.16666666667
"179","동작구","상도1동",21023.6666666667,9207.58333333333
"180","동작구","상도2동",11886.1666666667,4715.5
"181","동작구","상도3동",11532.75,4673.5
"182","동작구","상도4동",12996.25,4839.41666666667
"183","중랑구","상봉1동",10124.1666666667,2954.66666666667
"184","중랑구","상봉2동",9998.41666666667,5434.08333333333
"185","마포구","상암동",12658.1666666667,3928
"186","강동구","상일동",4165.41666666667,1134.08333333333
"187","마포구","서강동",11505.5,5074
"188","마포구","서교동",13929.8333333333,8388.33333333333
"189","관악구","서림동",14177.5833333333,9016.33333333333
"190","용산구","서빙고동",5318.33333333333,1694.08333333333
"191","관악구","서원동",13142.4166666667,7876.58333333333
"192","서초구","서초1동",9149.83333333333,3717.5
"193","서초구","서초2동",7776.5,3292
"194","서초구","서초3동",12868,5030.16666666667
"195","서초구","서초4동",10804.9166666667,2209.83333333333
"196","성북구","석관동",14749.3333333333,5751.66666666667
"197","송파구","석촌동",16489.5833333333,7822.75
"198","강동구","성내1동",8165.75,2306.41666666667
"199","강동구","성내2동",12382.9166666667,5825.08333333333
"200","강동구","성내3동",10212.1666666667,3692.83333333333
"201","성북구","성북동",8021.83333333333,3622.58333333333
"202","마포구","성산1동",9305,4061.33333333333
"203","마포구","성산2동",17883.5833333333,6994.08333333333
"204","성동구","성수1가1동",7636,3035.08333333333
"205","성동구","성수1가2동",7274.25,3223.08333333333
"206","성동구","성수2가1동",8603.83333333333,4073.41666666667
"207","성동구","성수2가3동",5649.5,2792.91666666667
"208","관악구","성현동",13006.1666666667,3806.5
"209","강남구","세곡동",17307.9166666667,5354.25
"235","중구","소공동",1069.58333333333,597.083333333333
"236","성동구","송정동",5504.33333333333,2639.66666666667
"237","강북구","송중동",13060.5,5393.41666666667
"238","강북구","송천동",13781.75,6060.75
"239","송파구","송파1동",12194.3333333333,5457.25
"240","송파구","송파2동",7297.75,1429.58333333333
"241","구로구","수궁동",9812.25,2623.16666666667
"242","은평구","수색동",5209.66666666667,1895
"243","강남구","수서동",7851.91666666667,3117.25
"244","강북구","수유1동",10284.8333333333,4483.33333333333
"245","강북구","수유2동",9521.41666666667,3241.08333333333
"246","강북구","수유3동",12275.75,6253.75
"247","종로구","숭인1동",2996.08333333333,1323.08333333333
"248","종로구","숭인2동",5678.33333333333,3641.58333333333
"249","금천구","시흥1동",15390.3333333333,6056
"250","금천구","시흥2동",8532.33333333333,1957.25
"251","금천구","시흥3동",4736.16666666667,1408
"252","금천구","시흥4동",9162.66666666667,3020.16666666667
"253","금천구","시흥5동",9367.41666666667,3721.08333333333
"254","영등포구","신길1동",9403.41666666667,5282.41666666667
"255","영등포구","신길3동",7131.5,2810.75
"256","영등포구","신길4동",4704.25,2020.91666666667
"257","영등포구","신길5동",5006.08333333333,2142.25
"258","영등포구","신길6동",8379.33333333333,3566.75
"259","영등포구","신길7동",6837.91666666667,2097.66666666667
"260","중랑구","신내1동",14556.0833333333,3216.41666666667
"261","중랑구","신내2동",9003.83333333333,2574.83333333333
"262","중구","신당5동",4457.66666666667,2062.91666666667
"263","중구","신당동",4424.41666666667,2648.33333333333
"264","동작구","신대방1동",9905.5,3451
"265","동작구","신대방2동",9015.75,3762.16666666667
"266","구로구","신도림동",13327.75,2774.25
"267","관악구","신림동",15749,12492.5
"268","은평구","신사1동",11435.3333333333,3486.16666666667
"269","은평구","신사2동",9086.41666666667,2968.5
"270","강남구","신사동",7564.08333333333,2946.91666666667
"271","관악구","신사동",12782.3333333333,7460.25
"272","마포구","신수동",9193.58333333333,3508.91666666667
"273","관악구","신원동",10180.9166666667,5601.16666666667
"274","양천구","신월1동",10143.5,4168.08333333333
"275","양천구","신월2동",8703.75,2342.91666666667
"276","양천구","신월3동",8228.33333333333,3827.25
"277","양천구","신월4동",6903.75,1422.58333333333
