"자치구","행정동","전체세대수","X1인세대","1인세대_2"
"중랑구","면목본동",17456.16667,8036.166667,4138.19948930543
"중구","명동",1412.75,927,-2970.96717769458
"강동구","명일1동",8179.416667,1983.083333,-1914.88384469458
"강동구","명일2동",5893.166667,978.5833333,-2919.38384439458
"양천구","목1동",10519.41667,1579.666667,-2318.30051069458
"양천구","목2동",12861,4214.916667,316.949489305425
"양천구","목3동",9537.416667,3325.333333,-572.633844694576
"양천구","목4동",10072.75,2736.583333,-1161.38384469458
"양천구","목5동",13571.66667,1620.166667,-2277.80051069458
"종로구","무악동",3010.166667,709.1666667,-3188.80051099458
"중랑구","묵1동",14425.16667,4467.166667,569.199489305425
"중랑구","묵2동",9147.833333,3696,-201.967177694576
"영등포구","문래동",12725.75,3885.916667,-12.0505106945757
"송파구","문정1동",8490,2620.75,-1277.21717769458
"송파구","문정2동",14825.25,7721.666667,3823.69948930542
"관악구","미성동",14066.83333,5233,1335.03282230542
"강북구","미아동",11169.16667,5309.583333,1411.61615530542
"서초구","반포1동",13258.08333,6161.333333,2263.36615530542
"서초구","반포2동",6911.416667,1038.916667,-2859.05051069458
"서초구","반포3동",6780.166667,1295,-2602.96717769458
"서초구","반포4동",7368.25,1865.166667,-2032.80051069458
"서초구","반포본동",4232.833333,730.3333333,-3167.63384439458
"강서구","발산1동",13402.83333,2470.333333,-1427.63384469458
"서초구","방배1동",7499,2802.583333,-1095.38384469458
"서초구","방배2동",10368.16667,3586.666667,-311.300510694576
"서초구","방배3동",8415.083333,2297.416667,-1600.55051069458
"서초구","방배4동",10075.66667,3386.083333,-511.883844694576
"서초구","방배본동",7860.916667,2089,-1808.96717769458
"송파구","방이1동",6171.083333,1696.666667,-2201.30051069458
"송파구","방이2동",12623.08333,6360.583333,2462.61615530542
"도봉구","방학1동",12685.16667,4400.916667,502.949489305425
"도봉구","방학2동",9575.416667,3581,-316.967177694576
"도봉구","방학3동",10142.66667,1733.666667,-2164.30051069458
"강서구","방화1동",17330.08333,4659.916667,761.949489305425
"강서구","방화2동",11475.25,5190.25,1292.28282230542
"강서구","방화3동",11247.41667,4346.833333,448.866155305424
"강북구","번1동",10100.91667,5171,1273.03282230542
"강북구","번2동",7543.25,2501.583333,-1396.38384469458
"강북구","번3동",7619.583333,2088.333333,-1809.63384469458
"용산구","보광동",7784.833333,3981,83.0328223054244
"관악구","보라매동",11895.58333,5272.916667,1374.94948930542
"성북구","보문동",7985.25,3650.5,-247.467177694576
"종로구","부암동",4307.583333,1617.833333,-2280.13384469458
"서대문구","북가좌1동",7018.833333,1508.75,-2389.21717769458
"서대문구","북가좌2동",14734,5321.25,1423.28282230542
"서대문구","북아현동",7561.083333,2804.75,-1093.21717769458
"은평구","불광1동",17719.16667,6165.083333,2267.11615530542
"은평구","불광2동",13651,5569.083333,1671.11615530542
"성동구","사근동",6990.083333,4754.666667,856.699489305425
"동작구","사당1동",12456.41667,6761.083333,2863.11615530542
"동작구","사당2동",11855.83333,4018.666667,120.699489305424
"동작구","사당3동",10367.5,3331.333333,-566.633844694576
"동작구","사당4동",6782.083333,2820.416667,-1077.55051069458
"동작구","사당5동",5675.416667,2175.333333,-1722.63384469458
"종로구","사직동",4492.75,2132.083333,-1765.88384469458
"강북구","삼각산동",11887.5,2527,-1370.96717769458
"성북구","삼선동",12619.16667,5982.166667,2084.19948930542
"강남구","삼성1동",5856.75,1895.5,-2002.46717769458
"강남구","삼성2동",13051.08333,5563,1665.03282230542
"관악구","삼성동",11545.08333,4469.916667,571.949489305425
"강북구","삼양동",12160.91667,4699.166667,801.199489305425
"송파구","삼전동",16218.75,7881.916667,3983.94948930542
"종로구","삼청동",1414.333333,741.3333333,-3156.63384439458
"노원구","상계10동",6672.916667,1698.583333,-2199.38384469458
"노원구","상계1동",15658.33333,4271.083333,373.116155305424
"노원구","상계2동",8748.833333,3019.083333,-878.883844694576
"노원구","상계3.4동",11842.58333,4537.333333,639.366155305424
"노원구","상계5동",11138.16667,3840.416667,-57.5505106945757
"노원구","상계6.7동",14076.08333,4083.916667,185.949489305424
"노원구","상계8동",9290.833333,2117.333333,-1780.63384469458
"노원구","상계9동",8516.75,1977.166667,-1920.80051069458
"동작구","상도1동",21023.66667,9207.583333,5309.61615530542
"동작구","상도2동",11886.16667,4715.5,817.532822305424
"동작구","상도3동",11532.75,4673.5,775.532822305424
"동작구","상도4동",12996.25,4839.416667,941.449489305425
"중랑구","상봉1동",10124.16667,2954.666667,-943.300510694576
"중랑구","상봉2동",9998.416667,5434.083333,1536.11615530542
"마포구","상암동",12658.16667,3928,30.0328223054244
"강동구","상일동",4165.416667,1134.083333,-2763.88384469458
"마포구","서강동",11505.5,5074,1176.03282230542
"마포구","서교동",13929.83333,8388.333333,4490.36615530542
"관악구","서림동",14177.58333,9016.333333,5118.36615530542
"용산구","서빙고동",5318.333333,1694.083333,-2203.88384469458
"관악구","서원동",13142.41667,7876.583333,3978.61615530542
"서초구","서초1동",9149.833333,3717.5,-180.467177694576
"서초구","서초2동",7776.5,3292,-605.967177694576
"서초구","서초3동",12868,5030.166667,1132.19948930542
"서초구","서초4동",10804.91667,2209.833333,-1688.13384469458
"성북구","석관동",14749.33333,5751.666667,1853.69948930542
"송파구","석촌동",16489.58333,7822.75,3924.78282230542
"강동구","성내1동",8165.75,2306.416667,-1591.55051069458
"강동구","성내2동",12382.91667,5825.083333,1927.11615530542
"강동구","성내3동",10212.16667,3692.833333,-205.133844694576
"성북구","성북동",8021.833333,3622.583333,-275.383844694576
"마포구","성산1동",9305,4061.333333,163.366155305424
"마포구","성산2동",17883.58333,6994.083333,3096.11615530542
"성동구","성수1가1동",7636,3035.083333,-862.883844694576
"성동구","성수1가2동",7274.25,3223.083333,-674.883844694576
"성동구","성수2가1동",8603.833333,4073.416667,175.449489305424
"성동구","성수2가3동",5649.5,2792.916667,-1105.05051069458
"관악구","성현동",13006.16667,3806.5,-91.4671776945756
"강남구","세곡동",17307.91667,5354.25,1456.28282230542
"중구","소공동",1069.583333,597.0833333,-3300.88384439458
"성동구","송정동",5504.333333,2639.666667,-1258.30051069458
"강북구","송중동",13060.5,5393.416667,1495.44948930542
"강북구","송천동",13781.75,6060.75,2162.78282230542
"송파구","송파1동",12194.33333,5457.25,1559.28282230542
"송파구","송파2동",7297.75,1429.583333,-2468.38384469458
"구로구","수궁동",9812.25,2623.166667,-1274.80051069458
"은평구","수색동",5209.666667,1895,-2002.96717769458
"강남구","수서동",7851.916667,3117.25,-780.717177694576
"강북구","수유1동",10284.83333,4483.333333,585.366155305424
"강북구","수유2동",9521.416667,3241.083333,-656.883844694576
"강북구","수유3동",12275.75,6253.75,2355.78282230542
"종로구","숭인1동",2996.083333,1323.083333,-2574.88384469458
"종로구","숭인2동",5678.333333,3641.583333,-256.383844694576
"금천구","시흥1동",15390.33333,6056,2158.03282230542
"금천구","시흥2동",8532.333333,1957.25,-1940.71717769458
"금천구","시흥3동",4736.166667,1408,-2489.96717769458
"금천구","시흥4동",9162.666667,3020.166667,-877.800510694576
"금천구","시흥5동",9367.416667,3721.083333,-176.883844694576
"영등포구","신길1동",9403.416667,5282.416667,1384.44948930542
"영등포구","신길3동",7131.5,2810.75,-1087.21717769458
"영등포구","신길4동",4704.25,2020.916667,-1877.05051069458
"영등포구","신길5동",5006.083333,2142.25,-1755.71717769458
"영등포구","신길6동",8379.333333,3566.75,-331.217177694576
"영등포구","신길7동",6837.916667,2097.666667,-1800.30051069458
"중랑구","신내1동",14556.08333,3216.416667,-681.550510694576
"중랑구","신내2동",9003.833333,2574.833333,-1323.13384469458
"중구","신당5동",4457.666667,2062.916667,-1835.05051069458
"중구","신당동",4424.416667,2648.333333,-1249.63384469458
"동작구","신대방1동",9905.5,3451,-446.967177694576
"동작구","신대방2동",9015.75,3762.166667,-135.800510694576
"구로구","신도림동",13327.75,2774.25,-1123.71717769458
"관악구","신림동",15749,12492.5,8594.53282230542
"은평구","신사1동",11435.33333,3486.166667,-411.800510694576
"은평구","신사2동",9086.416667,2968.5,-929.467177694576
"강남구","신사동",7564.083333,2946.916667,-951.050510694576
"관악구","신사동",12782.33333,7460.25,3562.28282230542
"마포구","신수동",9193.583333,3508.916667,-389.050510694576
"관악구","신원동",10180.91667,5601.166667,1703.19948930542
"양천구","신월1동",10143.5,4168.083333,270.116155305424
"양천구","신월2동",8703.75,2342.916667,-1555.05051069458
"양천구","신월3동",8228.333333,3827.25,-70.7171776945756
"양천구","신월4동",6903.75,1422.583333,-2475.38384469458
"양천구","신월5동",6398.833333,2062.333333,-1835.63384469458
"양천구","신월6동",2591.5,695.6666667,-3202.30051099458
"양천구","신월7동",9339.083333,2833,-1064.96717769458
"양천구","신정1동",7254.583333,1409.25,-2488.71717769458
"양천구","신정2동",7212,1551.666667,-2346.30051069458
"양천구","신정3동",17874.41667,4179.25,281.282822305424
